sample,	run1,	run2,	merged_reads
25A_03_02,	16262980,	11101741,	27364721
25A_02_04,	17787198,	6709587,	24496785
25A_03_04,	18301072,	9466369,	27767441
25A_06_01,	18387871,	4462558,	22850429
25A_13_05,	18394677,	4909798,	23304475
25A_02_02,	18661912,	13215156,	31877068
25A_06_02,	19123789,	5969290,	25093079
25A_02_05,	19127073,	8428928,	27556001
25A_14_05,	19275968,	5343102,	24619070
25A_02_01,	19293062,	14272211,	33565273
25A_03_01,	19316380,	4098052,	23414432
25A_08_04,	19319251,	3203081,	22522332
25A_06_03,	19460494,	5116654,	24577148
25A_02_03,	19526515,	8710736,	28237251
25A_03_03,	19752984,	5403999,	25156983
25A_05_05,	19809493,	5727810,	25537303
25A_04_04,	20420012,	5201209,	25621221
25A_06_05,	20546915,	3918743,	24465658
25A_04_01,	20567823,	8774578,	29342401
25A_05_02,	20814676,	7346218,	28160894
25A_11_03,	20825701,	6044483,	26870184
25A_04_02,	20907736,	8689857,	29597593
25A_09_03,	21324362,	2969004,	24293366
25A_11_01,	21333003,	7023833,	28356836
25A_07_01,	21453531,	5758716,	27212247
25A_09_05,	21492929,	6479300,	27972229
25A_09_02,	21552670,	2457544,	24010214
25A_12_05,	21628549,	3652638,	25281187
25A_07_02,	21978124,	2004483,	23982607
25A_10_05,	22073934,	3706475,	25780409
25A_10_01,	22213404,	5344300,	27557704
25A_14_02,	22250803,	2826870,	25077673
25A_10_03,	22339819,	4642118,	26981937
25A_05_04,	22417590,	4110393,	26527983
25A_11_05,	22474543,	2813742,	25288285
25A_08_03,	22557268,	10754976,	33312244
25A_11_02,	22961409,	1166822,	24128231
25A_05_03,	23023594,	3475348,	26498942
25A_13_04,	23118461,	2678332,	25796793
25A_05_01,	23154704,	2480727,	25635431
25A_08_05,	23207578,	2255080,	25462658
25A_07_04,	23241323,	3021351,	26262674
25A_06_04,	23251763,	2642444,	25894207
25A_07_03,	23254873,	1654127,	24909000
25A_09_01,	23439422,	1698011,	25137433
25A_10_02,	23484158,	2151800,	25635958
25A_08_02,	23595601,	1346668,	24942269
25A_13_03,	23763069,	1977464,	25740533
25A_14_04,	23894870,	1379708,	25274578
25A_08_01,	24173454,	1033604,	25207058
25A_12_02,	24304601,	385165,	24689766
25A_12_04,	24504777,	487296,	24992073
25A_07_05,	24634865,	704288,	25339153
25A_04_03,	25148064,	0,	25148064
25A_12_01,	25870995,	0,	25870995
25A_13_01,	26053399,	0,	26053399
25A_10_04,	26371071,	0,	26371071
25A_09_04,	27147467,	0,	27147467
25A_11_04,	27468242,	0,	27468242
25A_03_05,	28010478,	0,	28010478
25A_04_05,	28726223,	0,	28726223
25A_12_03,	28866574,	0,	28866574
25A_13_02,	30886856,	0,	30886856
25A_14_03,	31422771,	0,	31422771
25A_14_01,	32486526,	0,	32486526